,name,number,addresse,website
50,Saphirwerk AG,+41 323742585,"Erlenstrasse 36, CH-2555 Brügg",http://www.saphirwerk.com/
51,Bartelt Gesellschaft m.b.H.,+43 3164753280,"Neufeldweg 42, AT-8010 Graz",http://www.bartelt.at/
52,Hans Leutenegger SA,+41 319987744,"Bernstrasse 93, CH-3018 Bern",http://www.hansleutenegger.ch/
53,VWR International,+43 197002,"Graumanngasse 7, AT-1150 Wien",http://at.vwr.com/
54,Hach Lange GmbH,+41 848556699,"Rorschacherstrasse 30a, CH-9424 Rheineck",http://www.ch.hach.com/
55,acadon (Schweiz) GmbH,+41 412294119,"General-Guisan-Strasse 6, CH-6300 Zug",http://acadon.ch/
56,Sysmex Suisse SA,+41 244239393,"Rue Galilée 15, CH-1400 Yverdon-les-Bains",http://www.sysmex.ch/
57,ULBRICH Maschinenbau- und Export-Import BetriebsGmbH,+43 225280213,"Josefsthalerstrasse 34, AT-2512 Tribuswinkel",https://www.ulbrich.at/
58,Oxytec AG,+41 442146294,"Bahnhofstrasse 37, CH-8001 Zürich",http://www.oxytec-ag.com/
59,mechtop AG,+41 622059955,"Untere Dünnernstrasse 33, CH-4612 Wangen b. Olten",https://www.mechtop.ch/
60,IBG MONFORTS BENELUX B.V.,+31 457111800,"Jan Campertstraat 5, NL-6416 SG Heerlen",http://www.ibg-monforts.com/ibg-monforts/kontakt/vertriebsbuero-ausland
61,TBP ENGINEERING GMBH,+43 7326694930,"Hopfengasse 25, AT-4020 Linz",http://www.tbp-group.com/
62,Rütschi Fluid AG,+41 564605500,"Herzogstrasse 11, CH-5200 Brugg",http://www.grupperutschi.com/
63,Häny AG,+41 449254111,"Buechstrasse 20, CH-8645 Jona",http://www.haeny.com/
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
